id,impact,tags,description,help,helpUrl,nodeImpact,nodeHtml,nodeTarget,nodeType,message,numViolation
aria-prohibited-attr,serious,cat.aria|wcag2a|wcag412|EN-301-549|EN-9.4.1.2,Ensure ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=playwright,serious,"<g fill=""rgb(60,64,67)"" font-size=""7.57075977325439"" font-family=""Google Sans"" font-style=""normal"" font-weight=""500"" aria-label=""10"" transform=""matrix(1,0,0,1,36.53399658203125,16.477001190185547)"" opacity=""1"" style=""display: block;"">","gws-lottie[width=""700""],g[aria-label=""10""]",none,aria-label attribute cannot be used on a g with no valid role attribute.,8
aria-prohibited-attr,serious,cat.aria|wcag2a|wcag412|EN-301-549|EN-9.4.1.2,Ensure ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=playwright,serious,"<g fill=""rgb(60,64,67)"" font-size=""7.57075977325439"" font-family=""Google Sans"" font-style=""normal"" font-weight=""500"" aria-label=""11"" transform=""matrix(1,0,0,1,60.81999969482422,16.486000061035156)"" opacity=""1"" style=""display: block;"">","gws-lottie[width=""700""],g[aria-label=""11""]",none,aria-label attribute cannot be used on a g with no valid role attribute.,8
aria-prohibited-attr,serious,cat.aria|wcag2a|wcag412|EN-301-549|EN-9.4.1.2,Ensure ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=playwright,serious,"<g fill=""rgb(60,64,67)"" font-size=""7.57075977325439"" font-family=""Google Sans"" font-style=""normal"" font-weight=""500"" aria-label=""12"" transform=""matrix(1,0,0,1,85.10600280761719,16.513999938964844)"" opacity=""1"" style=""display: block;"">","gws-lottie[width=""700""],g[aria-label=""12""]",none,aria-label attribute cannot be used on a g with no valid role attribute.,8
aria-prohibited-attr,serious,cat.aria|wcag2a|wcag412|EN-301-549|EN-9.4.1.2,Ensure ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=playwright,serious,"<g fill=""rgb(60,64,67)"" font-size=""7.57075977325439"" font-family=""Google Sans"" font-style=""normal"" font-weight=""500"" aria-label=""13"" transform=""matrix(1,0,0,1,109.39300537109375,16.477001190185547)"" opacity=""1"" style=""display: block;"">","gws-lottie[width=""700""],g[aria-label=""13""]",none,aria-label attribute cannot be used on a g with no valid role attribute.,8
aria-prohibited-attr,serious,cat.aria|wcag2a|wcag412|EN-301-549|EN-9.4.1.2,Ensure ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=playwright,serious,"<g fill=""rgb(60,64,67)"" font-size=""7.57075977325439"" font-family=""Google Sans"" font-style=""normal"" font-weight=""500"" aria-label=""14"" transform=""matrix(1,0,0,1,133.67799377441406,16.486000061035156)"" opacity=""1"" style=""display: block;"">","gws-lottie[width=""700""],g[aria-label=""14""]",none,aria-label attribute cannot be used on a g with no valid role attribute.,8
aria-prohibited-attr,serious,cat.aria|wcag2a|wcag412|EN-301-549|EN-9.4.1.2,Ensure ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=playwright,serious,"<g fill=""rgb(60,64,67)"" font-size=""7.57075977325439"" font-family=""Google Sans"" font-style=""normal"" font-weight=""500"" aria-label=""15"" transform=""matrix(1,0,0,1,157.96299743652344,16.448999404907227)"" opacity=""1"" style=""display: block;"">","gws-lottie[width=""700""],g[aria-label=""15""]",none,aria-label attribute cannot be used on a g with no valid role attribute.,8
aria-prohibited-attr,serious,cat.aria|wcag2a|wcag412|EN-301-549|EN-9.4.1.2,Ensure ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=playwright,serious,"<g fill=""rgb(60,64,67)"" font-size=""7.57075977325439"" font-family=""Google Sans"" font-style=""normal"" font-weight=""500"" aria-label=""16"" transform=""matrix(1,0,0,1,12.249000549316406,16.482999801635742)"" opacity=""1"" style=""display: block;"">","gws-lottie[width=""700""],g[aria-label=""16""]",none,aria-label attribute cannot be used on a g with no valid role attribute.,8
aria-prohibited-attr,serious,cat.aria|wcag2a|wcag412|EN-301-549|EN-9.4.1.2,Ensure ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=playwright,serious,"<g fill=""rgb(60,64,67)"" font-size=""7.57075977325439"" font-family=""Google Sans"" font-style=""normal"" font-weight=""500"" aria-label=""17"" transform=""matrix(1,0,0,1,36.53499984741211,16.482999801635742)"" opacity=""1"" style=""display: block;"">","gws-lottie[width=""700""],g[aria-label=""17""]",none,aria-label attribute cannot be used on a g with no valid role attribute.,8
aria-prohibited-attr,serious,cat.aria|wcag2a|wcag412|EN-301-549|EN-9.4.1.2,Ensure ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=playwright,serious,"<g fill=""rgb(60,64,67)"" font-size=""7.57075977325439"" font-family=""Google Sans"" font-style=""normal"" font-weight=""500"" aria-label=""18"" transform=""matrix(1,0,0,1,60.81999969482422,16.482999801635742)"" opacity=""1"" style=""display: block;"">","gws-lottie[width=""700""],g[aria-label=""18""][fill=""rgb(60,64,67)""][font-size=""7.57075977325439""]",none,aria-label attribute cannot be used on a g with no valid role attribute.,8
aria-prohibited-attr,serious,cat.aria|wcag2a|wcag412|EN-301-549|EN-9.4.1.2,Ensure ARIA attributes are not prohibited for an element's role,Elements must only use permitted ARIA attributes,https://dequeuniversity.com/rules/axe/4.10/aria-prohibited-attr?application=playwright,serious,"<g fill=""rgb(60,64,67)"" font-size=""7.57075977325439"" font-family=""Google Sans"" font-style=""normal"" font-weight=""500"" aria-label=""19"" transform=""matrix(1,0,0,1,85.10600280761719,16.482999801635742)"" opacity=""1"" style=""display: block;"">","gws-lottie[width=""700""],g[aria-label=""19""][fill=""rgb(60,64,67)""][font-size=""7.57075977325439""]",none,aria-label attribute cannot be used on a g with no valid role attribute.,8
